# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	63338
#@/user_id	eda97b9c-91d9-424e-a110-67fce4e92b13
ben3 zhi2 	本职	c=1 d=1 t=48106
ben4 dan4 	笨蛋	c=4 d=1 t=51781
ben4 de5 	笨的	c=1 d=1 t=62385
ben4 si3 le5 	笨死了	c=3 d=2.91316 t=51772
beng1 	崩	c=1 d=1 t=20161
beng1 kui4 	崩溃	c=10 d=0.00104368 t=63338
beng1 le5 	崩了	c=1 d=1.06898e-20 t=63338
bi1 	逼	c=2 d=3.32634e-22 t=63338
bi2 zi5 	鼻子	c=6 d=1.16845e-08 t=63338
bi2 zu3 	鼻祖	c=1 d=0.0112206 t=63338
bi3 	比	c=27 d=0.0946199 t=63338
bi3 	笔	c=2 d=1.97045 t=22895
bi3 ji4 	笔记	c=2 d=1.71177 t=35988
bi3 ji4 ben3 	笔记本	c=2 d=1.50158 t=31801
bi3 jiao4 	比较	c=17 d=0.16624 t=63338
bi3 jiao4 da4 	比较大	c=2 d=1 t=22602
bi3 jiao4 hao3 	比较好	c=2 d=1.02619e-10 t=63338
bi3 jiao4 shao3 	比较少	c=2 d=1 t=31993
bi3 jiao4 xiao3 	比较小	c=1 d=1 t=52842
bi3 ni3 	比你	c=0 d=7.50328e-05 t=63338
bi3 ni3 gan 	比你干	c=1 d=0.000754089 t=63338
bi3 ni3 gan tai4 	比你干太	c=1 d=1 t=15533
bi3 qi3 lai2 	比起来	c=1 d=1 t=33255
bi3 ru2 	比如	c=31 d=0.000228309 t=63338
bi3 wo3 	比我	c=1 d=7.16435e-19 t=63338
bi3 ya4 di2 	比亚迪	c=1 d=1 t=46207
bi4 bao1 	闭包	c=1 d=1 t=34459
bi4 duan1 	弊端	c=1 d=1 t=61943
bi4 huan2 	闭环	c=1 d=0.000432902 t=63338
bi4 jing4 	毕竟	c=4 d=1.03133e-10 t=63338
bi4 jing4 yao4 	毕竟要	c=1 d=1 t=34598
bi4 mian3 	避免	c=7 d=1 t=41558
bi4 qu1 jian1 	闭区间	c=1 d=1 t=29484
bi4 rang4 	避让	c=1 d=1 t=49497
bi4 tian2 	必填	c=4 d=1.99468 t=44750
bi4 xu1 	必须	c=16 d=7.67916e-07 t=63338
bi4 xu1 yao4 	必须要	c=5 d=1.00009 t=46277
bi4 yao4 	必要	c=7 d=1 t=63169
bi4 ye4 	毕业	c=6 d=0.109631 t=63338
bi4 you3 	必有	c=1 d=1 t=56054
bi4 zhi3 	壁纸	c=7 d=1.3413e-06 t=63338
bian1 	边	c=1 d=1 t=50713
bian1 cheng2 	编程	c=4 d=0.000484524 t=63338
bian1 hao4 	编号	c=1 d=1 t=12953
bian1 ji2 	编辑	c=15 d=0.148181 t=63338
bian1 ji2 qi4 	编辑器	c=10 d=0.00897493 t=63338
bian1 jie3 ma3 	编解码	c=1 d=1 t=26580
bian1 jie4 	边界	c=2 d=1.93239 t=46530
bian1 ju4 	边距	c=3 d=1 t=45497
bian1 kuang1 	边框	c=3 d=1 t=54183
bian1 ma3 	编码	c=14 d=3.35732 t=44038
bian1 nei4 	编内	c=1 d=3.13156e-18 t=63338
bian1 xie3 	编写	c=4 d=1 t=47177
bian1 yi4 	编译	c=7 d=1.00036 t=27743
bian1 yi4 qi4 	编译器	c=3 d=1.80654 t=25902
bian1 yi4 wei 	编译为	c=1 d=1 t=14991
bian4 	便	c=3 d=1.99005 t=57942
bian4 	变	c=10 d=1 t=58084
bian4 cheng2 	变成	c=5 d=0.000482108 t=63338
bian4 da4 	变大	c=2 d=2.35378e-12 t=63338
bian4 ge2 	变革	c=1 d=1 t=43297
bian4 geng1 	变更	c=13 d=0.000704451 t=63338
bian4 hua4 	变化	c=11 d=0.00990218 t=63338
bian4 le5 	变了	c=4 d=1.41781e-19 t=63338
bian4 li4 	遍历	c=4 d=1 t=53987
bian4 lian3 	变脸	c=1 d=1 t=26407
bian4 liang4 	变量	c=20 d=0.011574 t=63338
bian4 liang4 ming2 	变量名	c=1 d=1 t=25888
bian4 wei4 	变为	c=3 d=8.34533e-20 t=63338
bian4 xi1 	辨析	c=1 d=1 t=40257
bian4 xian4 	变现	c=1 d=6.3542e-19 t=63338
bian4 xie2 	便携	c=1 d=1 t=10527
biao1 bing1 	标兵	c=1 d=1 t=37334
biao1 chi3 	标尺	c=2 d=1.5899e-06 t=63338
biao1 ji4 	标记	c=5 d=0.0365162 t=63338
biao1 ji4 wei4 	标记为	c=1 d=1 t=62122
biao1 qian1 	标签	c=12 d=1.25382e-14 t=63338
biao1 qian1 lan2 	标签栏	c=1 d=1 t=23405
biao1 qian1 ye4 	标签页	c=6 d=1.34472e-06 t=63338
biao1 shi4 	标示	c=10 d=4.75219e-13 t=63338
biao1 shi4 sha2 	标示啥	c=1 d=1 t=20813
biao1 ti2 	标题	c=19 d=2.73633 t=56487
biao1 ti2 lan2 	标题栏	c=2 d=1 t=46846
biao1 ti2 tou2 	标题头	c=1 d=1 t=21851
biao1 zhun3 	标准	c=15 d=0.0366992 t=63338
biao3 	表	c=9 d=1.98511 t=55112
biao3 dan1 	表单	c=12 d=3.39526 t=43955
biao3 ge2 	表格	c=10 d=0.0600966 t=63338
biao3 qing2 	表情	c=4 d=1 t=44913
biao3 shi4 	表示	c=7 d=1 t=50681
biao3 tai4 	表态	c=3 d=1.00094 t=22060
biao3 tou2 	表头	c=1 d=7.78246e-22 t=63338
biao3 xian4 	表现	c=2 d=1 t=53624
bie1 	憋	c=1 d=1 t=48819
bie1 chu1 	憋出	c=0 d=0.1 t=44457
bie1 chu1 lai2 	憋出来	c=1 d=1 t=44458
bie2 	别	c=12 d=0.0109436 t=63338
bie2 de5 	别的	c=2 d=1.47874e-14 t=63338
bie2 jia1 	别家	c=1 d=1 t=39729
bie2 jing1 	别经	c=2 d=7.8947e-14 t=63338
bie2 kan4 	别看	c=1 d=1 t=49239
bie2 ming2 	别名	c=5 d=1.43076e-08 t=63338
bie2 ren2 	别人	c=6 d=1.00016 t=47997
