# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	10114
#@/user_id	b7b5346c-d7ed-45fb-a14d-dc8972459ce8
a 	啊	c=41 d=0.369507 t=10114
ci4 	次	c=1 d=1.19019e-19 t=10114
ci4 sha1 	刺杀	c=1 d=8.74906e-17 t=10114
ci4 shu4 	次数	c=6 d=4.94442e-14 t=10114
cong2 	从	c=5 d=0.020548 t=10114
cong2 gao1 	从高	c=1 d=0.0095616 t=10114
cong2 lai2 	从来	c=1 d=1.89255e-05 t=10114
cui1 	催	c=1 d=2.48813e-18 t=10114
cui1 hun1 	催婚	c=1 d=2.45109e-18 t=10114
cui1 nai3 	催奶	c=1 d=3.42356e-08 t=10114
cun1 zhang3 	村长	c=1 d=1.11241e-18 t=10114
cun2 chu3 	存储	c=2 d=2.4147e-10 t=10114
cun2 zai4 	存在	c=1 d=1.62219e-15 t=10114
cuo4 	错	c=4 d=0.0336501 t=10114
cuo4 le5 	错了	c=1 d=8.33965e-12 t=10114
cuo4 wu4 	错误	c=11 d=0.231561 t=10114
da2 dao4 	达到	c=1 d=9.68599e-08 t=10114
da2 yi2 	答疑	c=1 d=3.23253e-09 t=10114
da3 	打	c=3 d=0.463013 t=10114
da3 bu4 kai1 	打不开	c=1 d=0.0157644 t=10114
da3 dian3 	打点	c=1 d=4.51735e-05 t=10114
da3 dian4 hua4 	打电话	c=2 d=1.04386e-05 t=10114
da3 dou4 	打斗	c=1 d=1.33893e-22 t=10114
da3 ge4 bao1 	打个包	c=1 d=3.39711e-05 t=10114
da3 gong1 	打工	c=1 d=3.20912e-19 t=10114
da3 gong1 ba5 	打工吧	c=1 d=3.55771e-19 t=10114
da3 ka3 	打卡	c=2 d=1.29112e-06 t=10114
da3 kai1 	打开	c=12 d=0.0282984 t=10114
da3 qian2 	打钱	c=1 d=2.72291e-20 t=10114
da3 ren2 	打人	c=1 d=0.951229 t=10114
da3 shi1 le5 	打湿了	c=1 d=0.501576 t=10114
da3 yi1 ci4 	打一次	c=1 d=2.46086e-06 t=10114
da3 yin4 	打印	c=1 d=8.5507e-13 t=10114
da3 yin4 wei 	打印为	c=1 d=2.06719e-14 t=10114
da4 	大	c=13 d=0.461091 t=10114
da4 bai2 	大白	c=1 d=1.02671e-16 t=10114
da4 chang3 	大厂	c=1 d=0.212248 t=10114
da4 da4 	大大	c=1 d=3.34074e-14 t=10114
da4 dao4 	大道	c=1 d=0.00194986 t=10114
da4 dou4 	大豆	c=2 d=2.70481e-22 t=10114
da4 duo1 shu4 	大多数	c=1 d=0.224249 t=10114
da4 gai4 lv4 	大概率	c=2 d=8.0147e-05 t=10114
da4 ge1 	大哥	c=1 d=3.38017e-05 t=10114
da4 jia1 	大家	c=4 d=3.22667e-17 t=10114
da4 ke4 	大课	c=2 d=5.74924e-09 t=10114
da4 lao3 	大佬	c=4 d=8.53449e-11 t=10114
da4 mo2 xing2 	大模型	c=1 d=3.90084e-14 t=10114
da4 ping2 	大屏	c=1 d=2.38935e-12 t=10114
da4 ping2 tai2 	大平台	c=1 d=3.32577e-20 t=10114
da4 ren2 	大人	c=1 d=0.946485 t=10114
da4 xiang4 mu4 	大项目	c=1 d=0.158025 t=10114
da4 xiao3 	大小	c=1 d=2.27205e-08 t=10114
da4 xue2 	大学	c=3 d=5.53179e-06 t=10114
da4 xue2 sheng1 	大学生	c=3 d=2.4543e-10 t=10114
da4 you3 	大有	c=1 d=9.01091e-11 t=10114
da4 zuo4 jia1 	大作家	c=1 d=1.18712e-18 t=10114
dai 	待	c=8 d=1.48145e-09 t=10114
dai4 	带	c=6 d=9.24919e-14 t=10114
dai4 biao3 	代表	c=1 d=5.7595e-10 t=10114
dai4 guo4 	带过	c=1 d=2.6157e-18 t=10114
dai4 hai2 zi5 	带孩子	c=1 d=4.63328e-09 t=10114
dai4 hui4 	待会	c=3 d=0.0196447 t=10114
dai4 jia4 	代驾	c=1 d=1.92115e-05 t=10114
dai4 kuan3 	贷款	c=1 d=3.71893e-11 t=10114
dai4 li3 	代理	c=1 d=0.00051312 t=10114
dai4 ma3 	代码	c=8 d=0.00172645 t=10114
dai4 ma3 kuai4 	代码块	c=1 d=1.56938e-08 t=10114
dai4 shen3 	待审	c=0 d=2.98553e-16 t=10114
dai4 shen3 he2 	带审核	c=3 d=7.59097e-15 t=10114
dai4 shen3 he2 	待审核	c=2 d=7.49915e-15 t=10114
dai4 ti4 	代替	c=1 d=2.23822e-08 t=10114
dai4 zhi3 	代指	c=1 d=9.54828e-16 t=10114
dan1 ci2 	单词	c=1 d=1.79219e-11 t=10114
dan1 du2 	单独	c=2 d=2.4796e-07 t=10114
dan1 fen4 	单份	c=1 d=0.00098783 t=10114
dan1 wei4 	单位	c=5 d=0.00214418 t=10114
dan1 xin1 	担心	c=1 d=1.04205e-14 t=10114
dan4 	但	c=1 d=0.00129402 t=10114
dan4 mu4 	弹幕	c=6 d=3.91256e-12 t=10114
dan4 shi4 	但是	c=18 d=0.648921 t=10114
dang1 qian2 	当前	c=15 d=1.16115e-07 t=10114
dang1 ran2 	当然	c=1 d=2.64244e-20 t=10114
dang3 wei4 	挡位	c=4 d=8.3736e-21 t=10114
dang4 an4 	档案	c=1 d=2.0165e-16 t=10114
dang4 wan3 	当晚	c=2 d=2.81455e-15 t=10114
dao3 bi4 	倒闭	c=1 d=5.11883e-05 t=10114
dao3 chu1 	导出	c=1 d=4.77683e-15 t=10114
dao3 shi4 	倒是	c=1 d=5.28011e-17 t=10114
dao3 xiang4 	导向	c=1 d=3.07488e-09 t=10114
dao3 zhi4 	导致	c=2 d=8.25245e-06 t=10114
dao4 	到	c=21 d=0.222966 t=10114
dao4 ji4 shi2 	倒计时	c=1 d=2.47917e-05 t=10114
dao4 jiu3 	倒酒	c=1 d=1.12923e-18 t=10114
