# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	64601
#@/user_id	2936c340-6f85-42ad-8ce9-4366b014c95e
bao le 	报了	c=1 d=9.22242e-78 t=64601
bao le ge 	报了个	c=1 d=2.40575e-63 t=64601
bao liu 	保留	c=7 d=1.15702e-10 t=64601
bao mu 	保姆	c=6 d=8.82458e-17 t=64601
bao nu 	暴怒	c=0 d=3.68357e-76 t=64601
bao nu shi 	暴怒是	c=1 d=3.70203e-75 t=64601
bao peng 	爆棚	c=2 d=3.18092e-08 t=64601
bao qian 	抱歉	c=1 d=1.54759e-20 t=64601
bao tai 	保胎	c=1 d=4.89629e-129 t=64601
bao xian 	保险	c=1 d=1.38885e-129 t=64601
bao xiang 	宝箱	c=2 d=8.60915e-25 t=64601
bao xiao 	报销	c=3 d=1.15675e-66 t=64601
bao xiao dan 	报销单	c=1 d=1.27841e-66 t=64601
bao zang 	宝藏	c=7 d=1.39499e-11 t=64601
bao zha 	爆炸	c=1 d=8.13434e-101 t=64601
bao zhe ta 	抱着她	c=1 d=4.70411e-11 t=64601
bao zhen 	保真	c=1 d=7.15855e-127 t=64601
bao zheng 	暴政	c=1 d=1.77864e-10 t=64601
bao zi 	包子	c=0 d=0.0377192 t=64601
bao zi jie 	包子接	c=1 d=0.379083 t=64601
bao zuo 	宝座	c=1 d=1.5272e-11 t=64601
bei 	倍	c=2 d=1.11704e-08 t=64601
bei 	呗	c=6 d=6.29914e-93 t=64601
bei 	背	c=1 d=2.12422e-40 t=64601
bei 	被	c=50 d=1.49279 t=64601
bei bao 	背包	c=2 d=4.08519e-12 t=64601
bei fang 	北方	c=6 d=1.10668e-16 t=64601
bei fen 	备份	c=1 d=3.85127e-40 t=64601
bei guan suo 	悲观锁	c=2 d=6.29445e-106 t=64601
bei guo 	背锅	c=1 d=2.59488e-71 t=64601
bei jing 	背景	c=45 d=5.41377e-17 t=64601
bei jing se 	背景色	c=4 d=9.01215e-42 t=64601
bei jing tu 	背景图	c=12 d=3.55033e-72 t=64601
bei lu 	北路	c=1 d=2.6055e-119 t=64601
bei lun 	悖论	c=1 d=1.74248e-33 t=64601
bei lv 	倍率	c=1 d=2.63169e-119 t=64601
bei ren 	被人	c=1 d=8.61532e-71 t=64601
bei ta 	被他	c=1 d=0.680451 t=64601
bei teng 	背疼	c=2 d=3.81581e-48 t=64601
bei tong 	北通	c=4 d=3.15838e-123 t=64601
bei wang 	备忘	c=1 d=1.31626e-27 t=64601
bei wo 	被我	c=3 d=2.32794e-58 t=64601
bei wo nen 	被我嫩	c=1 d=2.68531e-121 t=64601
bei zhe 	背着	c=1 d=2.37574e-33 t=64601
bei zhu 	备注	c=2 d=2.38359e-13 t=64601
ben 	本	c=6 d=7.82679e-30 t=64601
ben 	笨	c=1 d=1.49707e-100 t=64601
ben chang 	本场	c=3 d=1.96481e-116 t=64601
ben ci 	本次	c=4 d=0.371577 t=64601
ben dan 	笨蛋	c=1 d=8.8019e-29 t=64601
